Date;CE
01/01/2008;1242954
01/02/2008;1247765
01/03/2008;1252962
01/04/2008;1284232
01/05/2008;1314413
01/06/2008;1322070
01/07/2008;1356328
01/08/2008;1366937
01/09/2008;1445670
01/10/2008;1403108
01/11/2008;1450422
01/12/2008;1529019
01/01/2009;1428094
01/02/2009;1432637
01/03/2009;1408656
01/04/2009;1473040.2
01/05/2009;1473040.2
01/06/2009;1471479
01/07/2009;1470680
01/08/2009;1445068
01/09/2009;1461432
01/10/2009;1450273
01/11/2009;1481640.8
01/12/2009;1488365.9
01/01/2010;1428094
01/02/2010;1507101
01/03/2010;1504253
01/04/2010;1507519
01/05/2010;1509810
01/06/2010;1536212
01/07/2010;1530769
01/08/2010;1544711.6
01/09/2010;1579190.9
01/10/2010;1586476.7
01/11/2010;1596843.1
01/12/2010;1638767
01/01/2011;1620634
01/02/2011;1637725
01/03/2011;1690893.2
01/04/2011;1710879
01/05/2011;1755133
01/06/2011;1801508.8
01/07/2011;1785757.5
01/08/2011;1818867
01/09/2011;1878946.2
01/10/2011;1886675.5
01/11/2011;1901046
01/12/2011;1950028
01/01/2012;1928243
01/02/2012;1936565
01/03/2012;1966958.7
01/04/2012;1979652
01/05/2012;2021801
01/06/2012;2106265
01/07/2012;2112209
01/08/2012;2072445
01/09/2012;2120838
01/10/2012;2115409
01/11/2012;2108888
01/12/2012;2140772
01/01/2013;2092912.3
01/02/2013;2090163.7
01/03/2013;2111634
01/04/2013;2154562
01/05/2013;2160348
01/06/2013;2226325
01/07/2013;2256882
01/08/2013;2281584
01/09/2013;2316550
01/10/2013;2316550
01/11/2013;2328631
01/12/2013;2412391
01/01/2014;2342136
01/02/2014;2327571
01/03/2014;2342457.7
01/04/2014;2342457.7
01/05/2014;2437953
01/06/2014;2482040
01/07/2014;2434751
01/08/2014;2464429
01/09/2014;2474385
01/10/2014;2483637
01/11/2014;2512891
01/12/2014;2562111
01/01/2015;2496691
01/02/2015;2533502
01/03/2015;2528512
01/04/2015;2568925
01/05/2015;2526823
01/06/2015;2573800
01/07/2015;2597313
01/08/2015;2636505
01/09/2015;2656862
01/10/2015;2703118
01/11/2015;2680861
01/12/2015;2729470
01/01/2016;2690345
01/02/2016;2711175
01/03/2016;2707980
01/04/2016;2748063
01/05/2016;2772478
01/06/2016;2805863
01/07/2016;2841603
01/08/2016;2849250
01/09/2016;2902002
