Date;ICA
01/01/2008;182.57
01/02/2008;186.05
01/03/2008;182.75
01/04/2008;184.22
01/05/2008;186.7
01/06/2008;185.54
01/07/2008;198.52
01/08/2008;187.17
01/09/2008;165.8
01/10/2008;178.69
01/11/2008;172.03
01/12/2008;194.1
01/01/2009;142.92
01/02/2009;147.5
01/03/2009;159
01/04/2009;146.83
01/05/2009;134.94
01/06/2009;144.42
01/07/2009;161.38
01/08/2009;141.94
01/09/2009;141.3
01/10/2009;152.62
01/11/2009;155.57
01/12/2009;183.3
01/01/2010;156.7
01/02/2010;150.01
01/03/2010;159
01/04/2010;171.08
01/05/2010;165.38
01/06/2010;171.13
01/07/2010;191.87
01/08/2010;180.85
01/09/2010;169.41
01/10/2010;169.29
01/11/2010;178.39
01/12/2010;207.82
01/01/2011;175.31
01/02/2011;192.38
01/03/2011;207.45
01/04/2011;199.54
01/05/2011;206.63
01/06/2011;201.46
01/07/2011;185.1
01/08/2011;191.23
01/09/2011;195.43
01/10/2011;193.56
01/11/2011;190.89
01/12/2011;210.19
01/01/2012;204.77
01/02/2012;181.63
01/03/2012;212.4
01/04/2012;178.51
01/05/2012;209.45
01/06/2012;201.29
01/07/2012;189.08
01/08/2012;193.14
01/09/2012;177.57
01/10/2012;195.53
01/11/2012;192.18
01/12/2012;218.44
01/01/2013;210.37
01/02/2013;185.38
01/03/2013;218.01
01/04/2013;214.14
01/05/2013;217.13
01/06/2013;221.53
01/07/2013;204.7
01/08/2013;189.76
01/09/2013;194.27
01/10/2013;215.12
01/11/2013;195.94
01/12/2013;219.49
01/01/2014;215.01
01/02/2014;193.45
01/03/2014;215.97
01/04/2014;226.41
01/05/2014;224.5
01/06/2014;214.06
01/07/2014;219.56
01/08/2014;195.79
01/09/2014;197.94
01/10/2014;216.6
01/11/2014;187.53
01/12/2014;209.97
01/01/2015;174.51
01/02/2015;168.18
01/03/2015;194.28
01/04/2015;184.74
01/05/2015;168.67
01/06/2015;207.5
01/07/2015;187.83
01/08/2015;171.54
01/09/2015;171.42
01/10/2015;179.08
01/11/2015;173.96
01/12/2015;195.36
01/01/2016;178.16
01/02/2016;161.63
01/03/2016;168.52
01/04/2016;160.39
01/05/2016;168.67
01/06/2016;175.8
01/07/2016;150.57
01/08/2016;160.24
01/09/2016;162.14
01/10/2016;167.87
01/11/2016;166.46
01/12/2016;179.82
01/01/2017;170.12
01/02/2017;160.1
01/03/2017;179.06
01/04/2017;165.75
01/05/2017;181.13
01/06/2017;168.58
01/07/2017;168.97
01/08/2017;178.93
01/09/2017;154.99
01/10/2017;168.84
01/11/2017;162.06
01/12/2017;179.2
