Date;IPC
01/01/2008;95.64
01/02/2008;97.06
01/03/2008;97.45
01/04/2008;97.78
01/05/2008;97.68
01/06/2008;100.46
01/07/2008;101.28
01/08/2008;102.62
01/09/2008;103.14
01/10/2008;103.46
01/11/2008;101.72
01/12/2008;101.73
01/01/2009;98.51
01/02/2009;98.44
01/03/2009;98.4
01/04/2009;97.8
01/05/2009;96.76
01/06/2009;96.11
01/07/2009;96.62
01/08/2009;97.84
01/09/2009;98
01/10/2009;99.12
01/11/2009;98.32
01/12/2009;97.11
01/01/2010;97.85
01/02/2010;97.8
01/03/2010;97.68
01/04/2010;96.76
01/05/2010;96.37
01/06/2010;97.4
01/07/2010;98.86
01/08/2010;100.02
01/09/2010;100.93
01/10/2010;101.39
01/11/2010;101.1
01/12/2010;101.28
01/01/2011;101.8
01/02/2011;101.39
01/03/2011;100.83
01/04/2011;100.88
01/05/2011;101.2
01/06/2011;101.57
01/07/2011;101.98
01/08/2011;102.67
01/09/2011;103.56
01/10/2011;104.14
01/11/2011;103.82
01/12/2011;104.05
01/01/2012;103.3
01/02/2012;103.56
01/03/2012;103.56
01/04/2012;102.99
01/05/2012;101.8
01/06/2012;101.75
01/07/2012;102.31
01/08/2012;103.8
01/09/2012;104.93
01/10/2012;106.14
01/11/2012;105.88
01/12/2012;105.23
01/01/2013;104.05
01/02/2013;103.9
01/03/2013;103.4
01/04/2013;103.29
01/05/2013;103.04
01/06/2013;102.46
01/07/2013;103.4
01/08/2013;105.1
01/09/2013;105.98
01/10/2013;107.49
01/11/2013;106.83
01/12/2013;105.15
01/01/2014;104.8
01/02/2014;103.37
01/03/2014;102.9
01/04/2014;102.23
01/05/2014;101.26
01/06/2014;101.32
01/07/2014;102
01/08/2014;103.88
01/09/2014;104.6
01/10/2014;105.4
01/11/2014;104.4
01/12/2014;104.3
01/01/2015;102.3
01/02/2015;102.12
01/03/2015;101.55
01/04/2015;101.57
01/05/2015;101.9
01/06/2015;102.1
01/07/2015;103.3
01/08/2015;103.94
01/09/2015;105.4
01/10/2015;107.38
01/11/2015;106
01/12/2015;104.7
01/01/2016;103.84
01/02/2016;103.49
01/03/2016;102.9
01/04/2016;102.3
01/05/2016;101.9
01/06/2016;102.6
01/07/2016;103.5
01/08/2016;105.24
01/09/2016;106.7
01/10/2016;107.1
01/11/2016;106.18
01/12/2016;106.9
01/01/2017;105.7
01/02/2017;105.6
01/03/2017;105.4
01/04/2017;104.36
01/05/2017;103.7
01/06/2017;104
01/07/2017;105.57
01/08/2017;107.22
01/09/2017;107.3
01/10/2017;107.5
01/11/2017;106.37
01/12/2017;106.2
